country,score,year
Mauritania,3.1,2006
Panama,3.1,2006
Romania,3.1,2006
Sri Lanka,3.1,2006
Gabon,3.0,2006
Serbia,3.0,2006
Suriname,3.0,2006
Argentina,2.9,2006
Armenia,2.9,2006
Bosnia and Herzegovina,2.9,2006
Eritrea,2.9,2006
Syria,2.9,2006
Tanzania,2.9,2006
Dominican Republic,2.8,2006
Georgia,2.8,2006
Mali,2.8,2006
Mongolia,2.8,2006
Mozambique,2.8,2006
Ukraine,2.8,2006
Bolivia,2.7,2006
Iran,2.7,2006
Libya,2.7,2006
Macedonia,2.7,2006
Malawi,2.7,2006
Uganda,2.7,2006
Albania,2.6,2006
Guatemala,2.6,2006
Kazakhstan,2.6,2006
Laos,2.6,2006
Nicaragua,2.6,2006
Paraguay,2.6,2006
Timor-Leste,2.6,2006
Viet Nam,2.6,2006
Yemen,2.6,2006
Zambia,2.6,2006
Benin,2.5,2006
Gambia,2.5,2006
Guyana,2.5,2006
Honduras,2.5,2006
Nepal,2.5,2006
Philippines,2.5,2006
Russia,2.5,2006
Rwanda,2.5,2006
Swaziland,2.5,2006
Azerbaijan,2.4,2006
Burundi,2.4,2006
Central African Republic,2.4,2006
Ethiopia,2.4,2006
Indonesia,2.4,2006
Papua New Guinea,2.4,2006
Togo,2.4,2006
Zimbabwe,2.4,2006
Cameroon,2.3,2006
Ecuador,2.3,2006
Niger,2.3,2006
Venezuela,2.3,2006
Angola,2.2,2006
Kenya,2.2,2006
Kyrgyzstan,2.2,2006
Nigeria,2.2,2006
Pakistan,2.2,2006
Sierra Leone,2.2,2006
Tajikistan,2.2,2006
Turkmenistan,2.2,2006
Belarus,2.1,2006
Cambodia,2.1,2006
Côte d´Ivoire,2.1,2006
Equatorial Guinea,2.1,2006
Uzbekistan,2.1,2006
Bangladesh,2.0,2006
Chad,2.0,2006
Sudan,2.0,2006
Guinea,1.9,2006
Iraq,1.9,2006
Myanmar,1.9,2006
Haiti,1.8,2006
Denmark,9.4,2007
Finland,9.4,2007
New Zealand,9.4,2007
Singapore,9.3,2007
Sweden,9.3,2007
Iceland,9.2,2007
Netherlands,9.0,2007
Switzerland,9.0,2007
Canada,8.7,2007
Norway,8.7,2007
Australia,8.6,2007
Luxembourg,8.4,2007
United Kingdom,8.4,2007
Hong Kong,8.3,2007
Austria,8.1,2007
Germany,7.8,2007
Ireland,7.5,2007
Japan,7.5,2007
France,7.3,2007
USA,7.2,2007
Belgium,7.1,2007
Chile,7.0,2007
Barbados,6.9,2007
Saint Lucia,6.8,2007
Spain,6.7,2007
Uruguay,6.7,2007
Slovenia,6.6,2007
Estonia,6.5,2007
Portugal,6.5,2007
Israel,6.1,2007
Saint Vincent and the Grenadines,6.1,2007
Qatar,6.0,2007
Malta,5.8,2007
Macau,5.7,2007
Taiwan,5.7,2007
United Arab Emirates,5.7,2007
Dominica,5.6,2007
Botswana,5.4,2007
Cyprus,5.3,2007
Hungary,5.3,2007
Czech Republik,5.2,2007
Italy,5.2,2007
Malaysia,5.1,2007
South Africa,5.1,2007
South Korea,5.1,2007
Bahrain,5.0,2007
Bhutan,5.0,2007
Costa Rica,5.0,2007
Cape Verde,4.9,2007
Slovakia,4.9,2007
Latvia,4.8,2007
Lithuania,4.8,2007
Jordan,4.7,2007
Mauritius,4.7,2007
Oman,4.7,2007
Greece,4.6,2007
Namibia,4.5,2007
Samoa,4.5,2007
Seychelles,4.5,2007
Kuweit,4.3,2007
Cuba,4.2,2007
Poland,4.2,2007
Tunisia,4.2,2007
Bulgaria,4.1,2007
Croatia,4.1,2007
Turkey,4.1,2007
El Salvador,4.0,2007
Colombia,3.8,2007
Ghana,3.7,2007
Romania,3.7,2007
Senegal,3.6,2007
Brazil,3.5,2007
China,3.5,2007
India,3.5,2007
Mexico,3.5,2007
Morocco,3.5,2007
Peru,3.5,2007
Suriname,3.5,2007
Georgia,3.4,2007
Grenada,3.4,2007
Saudi Arabia,3.4,2007
Serbia,3.4,2007
Trinidad and Tobago,3.4,2007
Bosnia and Herzegovina,3.3,2007
Gabon,3.3,2007
Jamaica,3.3,2007
Kiribati,3.3,2007
Lesotho,3.3,2007
FYR Macedonia,3.3,2007
Maldives,3.3,2007
Montenegro,3.3,2007
Swaziland,3.3,2007
Thailand,3.3,2007
Madagascar,3.2,2007
Panama,3.2,2007
Sri Lanka,3.2,2007
Tanzania,3.2,2007
Vanuatu,3.1,2007
Algeria,3.0,2007
Armenia,3.0,2007
Belize,3.0,2007
Dominican Republic,3.0,2007
Lebanon,3.0,2007
Mongolia,3.0,2007
Albania,2.9,2007
Argentina,2.9,2007
Bolivia,2.9,2007
Burkina Faso,2.9,2007
Djibouti,2.9,2007
Egypt,2.9,2007
Eritrea,2.8,2007
Guatemala,2.8,2007
Moldovaa,2.8,2007
Mozambique,2.8,2007
Rwanda,2.8,2007
Solomon Islands,2.8,2007
Uganda,2.8,2007
Benin,2.7,2007
Malawi,2.7,2007
Mali,2.7,2007
Sao Tome and Principe,2.7,2007
Ukraine,2.7,2007
Comoros,2.6,2007
Guyana,2.6,2007
Mauritania,2.6,2007
Nicaragua,2.6,2007
Niger,2.6,2007
Timor-Leste,2.6,2007
Viet Nam,2.6,2007
Zambia,2.6,2007
Burundi,2.5,2007
Honduras,2.5,2007
Iran,2.5,2007
Libya,2.5,2007
Nepal,2.5,2007
Philippines,2.5,2007
Yemen,2.5,2007
Cameroon,2.4,2007
Ethiopia,2.4,2007
Pakistan,2.4,2007
Paraguay,2.4,2007
Syria,2.4,2007
Gambia,2.3,2007
Indonesia,2.3,2007
Russia,2.3,2007
Togo,2.3,2007
Angola,2.2,2007
Guinea-Bissau,2.2,2007
Nigeria,2.2,2007
Azerbaijan,2.1,2007
Belarus,2.1,2007
Cote d'Ivoire,2.1,2007
Ecuador,2.1,2007
Kazakhstan,2.1,2007
Kenya,2.1,2007
Kyrgyzstan,2.1,2007
Liberia,2.1,2007
Sierra Leone,2.1,2007
Tajikistan,2.1,2007
Zimbabwe,2.1,2007
Bangladesh,2.0,2007
Cambodia,2.0,2007
Central African Republic,2.0,2007
Papua New Guinea,2.0,2007
Turkmenistan,2.0,2007
Venezuela,2.0,2007
Equatorial Guinea,1.9,2007
Guinea,1.9,2007
Laos,1.9,2007
Afghanistan,1.8,2007
Chad,1.8,2007
Sudan,1.8,2007
Tonga,1.7,2007
Uzbekistan,1.7,2007
Haiti,1.6,2007
Iraq,1.5,2007
Myanmar,1.4,2007
Somalia,1.4,2007
Denmark,9.3,2008
New Zealand,9.3,2008
Sweden,9.3,2008
Singapore,9.2,2008
Finland,9.0,2008
Switzerland,9.0,2008
Iceland,8.9,2008
Netherlands,8.9,2008
Australia,8.7,2008
Canada,8.7,2008
Luxembourg,8.3,2008
Austria,8.1,2008
Hong Kong,8.1,2008
Germany,7.9,2008
Norway,7.9,2008
Ireland,7.7,2008
United Kingdom,7.7,2008
Belgium,7.3,2008
Japan,7.3,2008
USA,7.3,2008
Saint Lucia,7.1,2008
Barbados,7.0,2008
Chile,6.9,2008
France,6.9,2008
Uruguay,6.9,2008
Slovenia,6.7,2008
Estonia,6.6,2008
Qatar,6.5,2008
Saint Vincent and the Grenadines,6.5,2008
Spain,6.5,2008
Cyprus,6.4,2008
Portugal,6.1,2008
Dominica,6.0,2008
Israel,6.0,2008
United Arab Emirates,5.9,2008
Botswana,5.8,2008
Malta,5.8,2008
Puerto Rico,5.8,2008
Taiwan,5.7,2008
South Korea,5.6,2008
Mauritius,5.5,2008
Oman,5.5,2008
Bahrain,5.4,2008
Macau,5.4,2008
Bhutan,5.2,2008
Czech Republic,5.2,2008
Cape Verde,5.1,2008
Costa Rica,5.1,2008
Hungary,5.1,2008
Jordan,5.1,2008
Malaysia,5.1,2008
Latvia,5.0,2008
Slovakia,5.0,2008
South Africa,4.9,2008
Italy,4.8,2008
Seychelles,4.8,2008
Greece,4.7,2008
Lithuania,4.6,2008
Poland,4.6,2008
Turkey,4.6,2008
Namibia,4.5,2008
Croatia,4.4,2008
Samoa,4.4,2008
Tunisia,4.4,2008
Cuba,4.3,2008
Kuwait,4.3,2008
El Salvador,3.9,2008
Georgia,3.9,2008
Ghana,3.9,2008
Colombia,3.8,2008
Romania,3.8,2008
Bulgaria,3.6,2008
China,3.6,2008
Macedonia,3.6,2008
Mexico,3.6,2008
Peru,3.6,2008
Suriname,3.6,2008
Swaziland,3.6,2008
Trinidad and Tobago,3.6,2008
Brazil,3.5,2008
Burkina Faso,3.5,2008
Morocco,3.5,2008
Saudi Arabia,3.5,2008
Thailand,3.5,2008
Albania,3.4,2008
India,3.4,2008
Madagascar,3.4,2008
Montenegro,3.4,2008
Panama,3.4,2008
Senegal,3.4,2008
Serbia,3.4,2008
Algeria,3.2,2008
Bosnia and Herzegovina,3.2,2008
Lesotho,3.2,2008
Sri Lanka,3.2,2008,2008
Benin,3.1,2008
Gabon,3.1,2008
Guatemala,3.1,2008
Jamaica,3.1,2008
Kiribati,3.1,2008
Mali,3.1,2008
Bolivia,3.0,2008
Djibouti,3.0,2008
Dominican Republic,3.0,2008
Lebanon,3.0,2008
Mongolia,3.0,2008
Rwanda,3.0,2008
Tanzania,3.0,2008
Argentina,2.9,2008
Armenia,2.9,2008
Belize,2.9,2008
Moldova,2.9,2008
Solomon Islands,2.9,2008
Vanuatu,2.9,2008
Egypt,2.8,2008
Malawi,2.8,2008
Maldives,2.8,2008
Mauritania,2.8,2008
Niger,2.8,2008
Zambia,2.8,2008
Nepal,2.7,2008
Nigeria,2.7,2008
Sao Tome and Principe,2.7,2008
Togo,2.7,2008
Viet Nam,2.7,2008
Eritrea,2.6,2008
Ethiopia,2.6,2008
Guyana,2.6,2008
Honduras,2.6,2008
Indonesia,2.6,2008
Libya,2.6,2008
Mozambique,2.6,2008
Uganda,2.6,2008
Comoros,2.5,2008
Nicaragua,2.5,2008
Pakistan,2.5,2008
Ukraine,2.5,2008
Liberia,2.4,2008
Paraguay,2.4,2008
Tonga,2.4,2008
Cameroon,2.3,2008
Iran,2.3,2008
Philippines,2.3,2008
Yemen,2.3,2008
Kazakhstan,2.2,2008
Timor-Leste,2.2,2008
Bangladesh,2.1,2008
Kenya,2.1,2008
Russia,2.1,2008
Syria,2.1,2008
Belarus,2.0,2008
Central African Republic,2.0,2008
Côte d´Ivoire,2.0,2008
Ecuador,2.0,2008
Laos,2.0,2008
Papua New Guinea,2.0,2008
Taijikistan,2.0,2008
Angola,1.9,2008
Azerbaijan,1.9,2008
Burundi,1.9,2008
Congo. Republic,1.9,2008
Gambia,1.9,2008
Guinea-Bissau,1.9,2008
Sierra Leone,1.9,2008
Venezuela,1.9,2008
Cambodia,1.8,2008
Kyrgyzstan,1.8,2008
Turkmenistan,1.8,2008
Uzbekistan,1.8,2008
Zimbabwe,1.8,2008
Congo. Democratic Republic,1.7,2008
Equatorial Guinea,1.7,2008
Chad,1.6,2008
Guinea,1.6,2008
Sudan,1.6,2008
Afghanistan,1.5,2008
Haiti,1.4,2008
Iraq,1.3,2008
Myanmar,1.3,2008
Somalia,1.0,2008
New Zealand,9.4,2009
Denmark,9.3,2009
Singapore,9.2,2009
Sweden,9.2,2009
Switzerland,9.0,2009
Finland,8.9,2009
Netherlands,8.9,2009
Australia,8.7,2009
Canada,8.7,2009
Iceland,8.7,2009
Norway,8.6,2009
Hong Kong,8.2,2009
Luxembourg,8.2,2009
Germany,8.0,2009
Ireland,8.0,2009
Austria,7.9,2009
Japan,7.7,2009
United Kingdom,7.7,2009
United States,7.5,2009
Barbados,7.4,2009
Belgium,7.1,2009
Qatar,7.0,2009
Saint Lucia,7.0,2009
France,6.9,2009
Chile,6.7,2009
Uruguay,6.7,2009
Cyprus,6.6,2009
Estonia,6.6,2009
Slovenia,6.6,2009
United Arab Emirates,6.5,2009
Saint Vincent and the Grenadines,6.4,2009
Israel,6.1,2009
Spain,6.1,2009
Dominica,5.9,2009
Portugal,5.8,2009
Puerto Rico,5.8,2009
Botswana,5.6,2009
Taiwan,5.6,2009
Brunei Darussalam,5.5,2009
Oman,5.5,2009
Korea (South),5.5,2009
Mauritius,5.4,2009
Costa Rica,5.3,2009
Macau,5.3,2009
Malta,5.2,2009
Bahrain,5.1,2009
Cape Verde,5.1,2009
Hungary,5.1,2009
Bhutan,5.0,2009
Jordan,5.0,2009
Poland,5.0,2009
Czech Republic,4.9,2009
Lithuania,4.9,2009
Seychelles,4.8,2009
South Africa,4.7,2009
Latvia,4.5,2009
Malaysia,4.5,2009
Namibia,4.5,2009
Samoa,4.5,2009
Slovakia,4.5,2009
Cuba,4.4,2009
Turkey,4.4,2009
Italy,4.3,2009
Saudi Arabia,4.3,2009
Tunisia,4.2,2009
Croatia,4.1,2009
Georgia,4.1,2009
Kuwait,4.1,2009
Ghana,3.9,2009
Montenegro,3.9,2009
Bulgaria,3.8,2009
Macedonia,3.8,2009
Greece,3.8,2009
Romania,3.8,2009
Brazil,3.7,2009
Colombia,3.7,2009
Peru,3.7,2009
Suriname,3.7,2009
Burkina Faso,3.6,2009
China,3.6,2009
Swaziland,3.6,2009
Trinidad and Tobago,3.6,2009
Serbia,3.5,2009
El Salvador,3.4,2009
Guatemala,3.4,2009
India,3.4,2009
Panama,3.4,2009
Thailand,3.4,2009
Lesotho,3.3,2009
Malawi,3.3,2009
Mexico,3.3,2009
Moldova,3.3,2009
Morocco,3.3,2009
Rwanda,3.3,2009
Albania,3.2,2009
Vanuatu,3.2,2009
Liberia,3.1,2009
Sri Lanka,3.1,2009
Bosnia and Herzegovina,3.0,2009
Dominican Republic,3.0,2009
Jamaica,3.0,2009
Madagascar,3.0,2009
Senegal,3.0,2009
Tonga,3.0,2009
Zambia,3.0,2009
Argentina,2.9,2009
Benin,2.9,2009
Gabon,2.9,2009
Gambia,2.9,2009
Niger,2.9,2009
Algeria,2.8,2009
Djibouti,2.8,2009
Egypt,2.8,2009
Indonesia,2.8,2009
Kiribati,2.8,2009
Mali,2.8,2009
Sao Tome and Principe,2.8,2009
Solomon Islands,2.8,2009
Togo,2.8,2009
Armenia,2.7,2009
Bolivia,2.7,2009
Ethiopia,2.7,2009
Kazakhstan,2.7,2009
Mongolia,2.7,2009
Vietnam,2.7,2009
Eritrea,2.6,2009
Guyana,2.6,2009
Syria,2.6,2009
Tanzania,2.6,2009
Honduras,2.5,2009
Lebanon,2.5,2009
Libya,2.5,2009
Maldives,2.5,2009
Mauritania,2.5,2009
Mozambique,2.5,2009
Nicaragua,2.5,2009
Nigeria,2.5,2009
Uganda,2.5,2009
Bangladesh,2.4,2009
Belarus,2.4,2009
Pakistan,2.4,2009
Philippines,2.4,2009
Azerbaijan,2.3,2009
Comoros,2.3,2009
Nepal,2.3,2009
Cameroon,2.2,2009
Ecuador,2.2,2009
Kenya,2.2,2009
Russia,2.2,2009
Sierra Leone,2.2,2009
Timor-Leste,2.2,2009
Ukraine,2.2,2009
Zimbabwe,2.2,2009
Côte d´Ivoire,2.1,2009
Papua New Guinea,2.1,2009
Paraguay,2.1,2009
Yemen,2.1,2009
Cambodia,2.0,2009
Central African Republic,2.0,2009
Laos,2.0,2009
Tajikistan,2.0,2009
Angola,1.9,2009
Congo Brazzaville,1.9,2009
Democratic Republic of Congo,1.9,2009
Guinea-Bissau,1.9,2009
Kyrgyzstan,1.9,2009
Venezuela,1.9,2009
Burundi,1.8,2009
Equatorial Guinea,1.8,2009
Guinea,1.8,2009
Haiti,1.8,2009
Iran,1.8,2009
Turkmenistan,1.8,2009
Uzbekistan,1.7,2009
Chad,1.6,2009
Iraq,1.5,2009
Sudan,1.5,2009
Myanmar,1.4,2009
Afghanistan,1.3,2009
Somalia,1.1,2009

